Time,Protocol,Length,Source,Destination,bad_packet
387.586255292,0,42,2,1,1
387.588112662,0,42,2,1,1
387.598754538,0,42,2,1,1
387.609589137,0,42,2,1,1
387.618053617,0,42,2,1,1
387.62010753,0,42,2,1,1
387.622031362,0,42,2,1,1
387.622088564,0,42,2,1,1
387.630393067,0,42,2,1,1
387.64074044,0,42,2,1,1
387.650034027,0,42,2,1,1
387.650061642,0,42,2,1,1
387.650074397,0,42,2,1,1
387.651049635,0,42,2,1,1
387.661389551,0,42,2,1,1
387.671805515,0,42,2,1,1
387.682039604,0,42,2,1,1
387.682070631,0,42,2,1,1
387.68208325,0,42,2,1,1
387.68226653,0,42,2,1,1
387.693029076,0,42,2,1,1
387.703352069,0,42,2,1,1
387.713690353,0,42,2,1,1
387.714028435,0,42,2,1,1
387.714040074,0,42,2,1,1
387.714050087,0,42,2,1,1
387.714056603,0,42,2,1,1
387.714063956,0,42,2,1,1
387.714068397,0,42,2,1,1
387.724088412,0,42,2,1,1
387.734282616,0,42,2,1,1
387.744824621,0,42,2,1,1
387.74603269,0,42,2,1,1
387.746051995,0,42,2,1,1
387.746076113,0,42,2,1,1
387.746087329,0,42,2,1,1
387.755257162,0,42,2,1,1
387.766144762,0,42,2,1,1
387.777263589,0,42,2,1,1
387.778047205,0,42,2,1,1
387.778061525,0,42,2,1,1
387.778065358,0,42,2,1,1
387.782074406,0,42,2,1,1
387.782190596,0,42,2,1,1
387.782258022,0,42,2,1,1
387.787688323,0,42,2,1,1
387.79837089,0,42,2,1,1
387.809082807,0,42,2,1,1
387.810120037,0,42,2,1,1
387.810214536,0,42,2,1,1
387.814052892,0,42,2,1,1
387.814073041,0,42,2,1,1
387.81408356,0,42,2,1,1
387.814091378,0,42,2,1,1
387.814097754,0,42,2,1,1
387.819644662,0,42,2,1,1
387.829922245,0,42,2,1,1
387.840243858,0,42,2,1,1
387.842031604,0,42,2,1,1
387.842052003,0,42,2,1,1
387.842063102,0,42,2,1,1
387.842070043,0,42,2,1,1
387.842077521,0,42,2,1,1
387.842082596,0,42,2,1,1
387.850664043,0,42,2,1,1
387.861246574,0,42,2,1,1
387.87169869,0,42,2,1,1
387.874036693,0,42,2,1,1
387.874056704,0,42,2,1,1
387.874062386,0,42,2,1,1
387.878031356,0,42,2,1,1
387.878066069,0,42,2,1,1
387.882078529,0,42,2,1,1
387.892470253,0,42,2,1,1
387.9028097,0,42,2,1,1
387.906040751,0,42,2,1,1
387.906053592,0,42,2,1,1
387.906060322,0,42,2,1,1
387.906064172,0,42,2,1,1
387.910029928,0,42,2,1,1
387.910063697,0,42,2,1,1
387.910075567,0,42,2,1,1
387.913352071,0,42,2,1,1
387.923857748,0,42,2,1,1
387.934201117,0,42,2,1,1
387.93443095,0,60,2,4,0
387.934457865,0,60,2,0,0
387.938025331,0,42,2,1,1
387.938051358,0,42,2,1,1
387.938072456,0,42,2,1,1
387.938079275,0,42,2,1,1
387.938083386,0,42,2,1,1
387.938086846,0,42,2,1,1
387.944582578,0,42,2,1,1
387.955029213,0,42,2,1,1
387.965423539,0,42,2,1,1
387.970041099,0,42,2,1,1
387.970059853,0,42,2,1,1
387.974063312,0,42,2,1,1
387.97411461,0,42,2,1,1
387.97412289,0,42,2,1,1
387.97412661,0,42,2,1,1
387.975749352,0,42,2,1,1
387.986057017,0,42,2,1,1
387.996693579,0,42,2,1,1
388.002035559,0,42,2,1,1
388.006023286,0,42,2,1,1
388.006034997,0,42,2,1,1
388.006042215,0,42,2,1,1
388.006064791,0,42,2,1,1
388.006071295,0,42,2,1,1
388.007011338,0,42,2,1,1
388.017263487,0,42,2,1,1
388.027794037,0,42,2,1,1
